Data;7917 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Hot money - %;7918 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Desconto de duplicatas - %;7919 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Desconto de notas promissórias - %;7920 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Capital de giro - %;7921 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Conta garantida - %;7922 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento imobiliário - Pessoa jurídica - %;7923 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de bens - Pessoa jurídica - %;7924 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Vendor - %;7925 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Adiantamento sobre contrato de câmbio (ACC - %;7926 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Export notes - %;7927 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Repasses externos - %;7928 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Outras operações - Pessoa jurídica - %;8314 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento a importações e outros - %
nov/03;9,61;2,98;4,37;4,72;1,42;12,31;1,75;0,87;1,15;0;1,39;6,92;1,79
dez/03;8,01;3,07;3,91;3,07;1,29;12,45;1,73;1,76;0,99;0;0,77;5,47;1,71
jan/04;7,56;3,38;4,71;3,24;1,3;12,45;1,73;1,47;0,96;0;0,73;5,52;1,71
fev/04;12,37;3,53;4,91;3,14;1,18;13,32;1,73;1,36;0,86;0;0,86;5,48;1,57
mar/04;17,3;3,28;4,94;3,2;1,38;14,13;1,66;0,77;0,87;0;0,92;5,17;1,59
abr/04;17,02;3,29;5,37;2,96;1,38;14,24;1,59;1,27;0,78;0;1,62;4,96;1,55
mai/04;20,55;2,99;5,05;2,75;1,45;12,79;1,49;0,93;0,73;0;1,59;5,14;2,23
jun/04;20,94;2,89;4,16;2,58;1,62;12,31;1,37;0,52;0,84;0;1,46;4,94;1,14
jul/04;1,6;2,91;3,83;2,43;1,47;12,48;1,3;1,31;0,85;0;1,28;4,85;1,15
ago/04;1,38;2,97;4,08;2,2;1,51;12,62;1,25;0,83;0,89;0;0,68;4,71;1,94
set/04;2;3,09;2,92;2,07;1,49;12,73;1,18;0,69;0,78;11,79;0,49;4,23;1,86
out/04;1,59;3,17;2,83;1,99;1,38;8,12;1,11;1,05;0,94;20,58;0,32;4,21;2,19
nov/04;2,18;3,29;2,92;1,85;1,43;7,8;1,18;0,29;1,01;0;0,34;4,04;2,16
dez/04;1,7;3,06;2,95;1,79;1,56;7,21;1,11;0,62;1,03;21,28;0,19;4,43;2,11
jan/05;1,78;3,52;4,23;1,85;1,54;8,65;1,08;0,49;1,04;22,01;0,18;4,86;1,15
fev/05;2,04;3,64;4,82;1,73;1,44;9,39;1,05;0,25;0,92;21,6;0,12;4,93;0,89
mar/05;2,32;3,7;4,56;2,06;1,48;8,26;1,01;0,27;1,13;27,29;0,11;6,08;1,35
abr/05;2,47;3,67;4,48;2,43;1,65;7,87;0,98;1,36;1,21;33,3;0,09;6,84;1,6
mai/05;2,56;3,93;4,91;1,62;1,61;8,3;0,95;0,17;1,13;0;0,23;4,25;0,83
jun/05;2,48;3,9;5,45;1,6;1,66;8;0,98;0,19;0,9;0;0,09;4,05;0,93
jul/05;2,11;4,02;5,2;1,71;1,77;7,93;1,01;0,28;0,97;0;0,13;3,98;1,06
ago/05;2,82;4,22;4,93;1,8;1,96;13,34;1,04;0,32;0,97;0;0,13;4,68;0,77
set/05;2,61;4,14;4,5;1,88;1,86;13,51;1,08;0,44;1,18;0;0,04;4,77;1,19
out/05;2,47;4,25;3,94;1,9;1,91;7,43;1,12;0,5;1,1;45,55;0,02;4,39;1,14
nov/05;2,6;4,31;3,39;1,97;1,99;5,96;1,12;0,52;1,17;0;0,02;5,07;1,08
dez/05;2,44;4,22;3,25;1,94;2,11;14,24;1,13;0,72;1,17;0;0,02;4,44;0,97
jan/06;3,05;4,86;3,55;2,02;2,21;11,96;1,23;0,47;1,16;0;0,02;5,21;0,98
fev/06;3,02;4,74;3,46;2,08;2,14;11,84;1,31;0,46;1,22;0;0,02;4,9;1,07
mar/06;3,2;4,88;3,21;2,06;2,33;4,56;1,4;0,23;1,22;0;0,01;5,11;1,04
abr/06;3,42;4,9;4,48;2,31;2,33;7,24;1,55;0,27;1,25;0;0,02;5,45;0,99
mai/06;3,57;5,2;4,13;2,19;2,51;13,2;1,63;0,16;1,25;0;0,02;5,79;0,96
jun/06;2,88;5,2;3,94;2,2;2,4;13,98;1,62;0,2;1,35;0;0,06;5,23;0,75
jul/06;2,37;5,58;3,8;2,39;2,5;14,26;1,71;0,18;1,25;0;0,08;5,46;0,58
ago/06;2,59;5,67;3,79;2,94;2,71;14,17;1,64;0,2;1,14;0;0,04;5,85;0,61
set/06;3,13;5,67;3,53;3,08;2,81;13,83;1,65;0,24;1,23;0;0,02;6,55;0,59
out/06;3,05;5,86;3,47;2,92;2,94;13,44;1,65;0,18;1,27;0;0,22;6,63;0,63
nov/06;3,76;6,04;3,73;2,78;3;4,91;1,61;0,19;1,28;0;0,22;6,59;0,61
dez/06;3,32;5,73;4,37;2,69;3,06;5,66;1,61;0,17;1,21;0;0,36;5,73;0,65
jan/07;3,01;6,55;4,1;2,84;3,18;5,56;1,63;0,18;1,3;0;0,33;6,2;0,66
fev/07;2,95;6,67;3,7;2,86;3,16;5,61;1,6;0,18;1,26;0;0,47;6,01;0,78
mar/07;3,33;6,36;3,47;2,83;3,28;4,72;1,78;0,18;1,17;0;0,31;6,08;0,71
abr/07;2,68;6,44;3,89;2,58;3,21;4,94;1,68;0,2;1,01;0;0,27;6,19;0,8
mai/07;1,14;6,46;3,74;2,25;3,33;4,82;1,56;0,19;0,44;0;0,04;6,49;0,71
jun/07;2,78;6,44;3,48;2,14;3,17;4,67;1,67;0,21;0,56;0;0,03;6,25;0,66
jul/07;2,67;6,75;3,92;2,05;3,08;4,18;1,62;0,17;0,44;0;0,05;6,17;0,52
ago/07;1,24;6,81;4,1;1,95;3,4;3,88;1,56;0,15;0,39;0;0,03;6,3;0,45
set/07;1,05;6,39;4,32;1,82;3,47;3,56;1,5;0,12;0,35;0;0,13;5,97;0,52
out/07;2,1;6,58;4,21;1,76;3,48;4,22;1,43;0,13;0,37;0;0,16;5,36;0,57
nov/07;1,95;6,44;3,59;1,73;3,42;3,2;1,33;0,12;0,37;0;0,15;5,36;0,56
dez/07;0,75;5,68;3,97;1,59;3,37;3,26;1,3;0,12;0,35;0;0,15;4,54;0,52
jan/08;1,43;6,31;4,45;1,51;3,28;3,21;1,4;0,17;0,49;0;0,15;4,6;0,56
fev/08;3,16;6,49;4,68;1,41;3,39;3,13;1,52;0,15;0,51;0;0,04;4,71;0,51
mar/08;2,91;5,98;3,46;1,38;3,02;3,26;1,54;0,15;0,51;0;0,03;3,91;0,44
abr/08;3,72;6;3,22;1,4;2,99;2,89;1,55;0,14;0,59;0;0,1;4,11;0,46
mai/08;3,52;5,98;2,78;1,27;2,93;3,59;1,58;0,15;0,53;0;0,13;4,22;0,46
jun/08;3,03;5,84;2,68;1,12;2,87;3,46;1,54;0,13;0,53;0;0,14;3,7;0,48
jul/08;2,29;5,96;2,4;1,15;2,58;2,66;1,49;0,15;0,5;0;0,13;4,26;0,49
ago/08;2,1;5,9;2,12;1,2;2,53;2,65;1,48;0,09;0,45;0;0,11;4,04;0,46
set/08;1,9;5,76;2,66;1,18;2,57;3,38;1,53;0,07;0,58;0;0,08;3,87;0,41
out/08;1,8;5,72;2,9;1,35;2,71;3,16;1,54;0,05;0,63;0;0,07;3,74;0,46
nov/08;0,7;5,44;2,26;1,41;2,69;2,97;1,68;0,04;0,66;0;0,07;3,93;0,39
dez/08;0,91;5,52;2,14;1,53;2,98;2,64;1,95;0,04;0,56;0;0,03;4,18;0,5
jan/09;1,53;6,61;2,86;1,65;3,17;2,48;2,26;0,07;0,7;0;0,12;4,78;0,54
fev/09;2,7;6,92;3,33;1,89;3,39;3,29;2,57;0,09;0,86;0;0,26;5,67;0,72
mar/09;1,67;7,01;3,29;2,22;3,89;3,33;2,96;0,11;0,81;0;0,46;5,91;0,75
abr/09;3,27;7,82;4,34;2,49;4,23;2,24;3,22;0,3;0,9;0;0,66;6,59;0,87
mai/09;4,19;8,26;5,03;2,75;4,52;2,15;3,39;0,32;0,97;0;0,7;7,31;0,84
jun/09;3,94;7,72;2,47;3;4,46;2,65;3,72;0,31;1,01;0;1,62;8,07;0,89
jul/09;5,32;8,45;2,59;3,37;4,73;3,7;3,73;0,31;1,02;0;2,43;8,81;1,13
ago/09;6,08;8,86;2,65;3,43;4,88;3,71;3,7;0,59;1,18;0;1,08;9,15;0,9
set/09;6,77;8,53;2,8;3,52;4,75;3,54;3,83;0,66;1,19;0;1,84;8,87;0,81
out/09;5,9;8,43;2,71;3,51;4,79;4,1;3,67;0,67;1,36;0;1,74;8,85;0,76
nov/09;4,97;7,9;4,37;3,42;4,48;4,49;3,75;0,48;2,29;0;1,75;8,88;0,87
dez/09;4,44;7,17;4,73;3,34;4,6;3,88;3,49;0,39;1,7;0;1,43;7,94;0,79
jan/10;4,86;7,75;4,68;3,35;4,45;3;3,63;0,42;1,86;0;1,5;8,22;1,28
fev/10;4,06;7,8;4,39;3,3;4,27;2,83;3,59;0,42;1,84;0;1,51;7,99;1,22
mar/10;5,24;7,49;4,62;3,17;4,32;2,67;3,46;0,42;1,82;0;1,63;7,47;0,9
abr/10;3,98;7,62;5,43;3,22;4,32;2,59;3,2;0,37;1,36;0;2,17;7,41;0,67
mai/10;3,78;7,8;5,64;3,39;4,37;2,55;3,2;0,13;1,27;0;1,65;7,67;0,8
jun/10;3,26;8,15;5,24;3,31;4,47;3,15;3,09;0,05;1,14;0;1,79;6,47;0,79
jul/10;4,7;8,45;5,78;3,32;4,61;3,1;3,01;0,04;0,86;0;1,89;6,58;0,65
ago/10;3,36;7,78;2,5;3,28;4,77;2,95;2,84;0,04;0,69;1;1,86;6,82;0,61
set/10;3,83;7,73;2,23;3,29;4,75;2,95;2,76;0,04;0,78;2;1,46;6,17;0,76
out/10;4,9;7,69;2,49;3,26;4,74;2,73;2,7;0,03;0,76;3;1,53;6,22;0,69
