Data;21134 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - %;21135 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - %;21137 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - %;21138 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - %;21140 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - %;21141 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES - %;21142 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES - %;21144 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Outros créditos direcionados - %
08/2015;0,60 ;1,02 ;0,79 ;0,49 ;1,11 ;0,68 ;1,53 ;0,98
09/2015;0,51 ;1,02 ;0,78 ;0,44 ;1,16 ;0,70 ;1,81 ;0,93
10/2015;0,54 ;1,02 ;1,15 ;0,54 ;1,38 ;0,76 ;1,89 ;0,95
11/2015;0,56 ;1,04 ;1,10 ;1,04 ;1,58 ;0,82 ;2,06 ;0,99
12/2015;0,52 ;1,13 ;1,20 ;1,26 ;1,63 ;0,80 ;1,58 ;1,07
01/2016;0,54 ;1,24 ;1,08 ;1,12 ;1,50 ;0,87 ;1,81 ;1,06
02/2016;0,51 ;1,21 ;0,90 ;1,30 ;1,54 ;0,91 ;1,64 ;1,04
03/2016;0,49 ;1,27 ;1,08 ;1,14 ;1,96 ;0,94 ;2,13 ;0,97
04/2016;0,48 ;1,36 ;1,22 ;1,58 ;2,37 ;1,04 ;2,63 ;1,89
05/2016;0,49 ;1,37 ;1,68 ;1,86 ;2,49 ;1,07 ;2,13 ;2,04
06/2016;0,46 ;1,32 ;1,29 ;1,35 ;2,11 ;1,04 ;1,86 ;1,04
07/2016;0,45 ;1,34 ;1,34 ;1,18 ;1,85 ;1,05 ;1,96 ;1,05
08/2016;0,55 ;1,22 ;1,52 ;1,23 ;1,34 ;1,02 ;1,70 ;2,81
09/2016;0,40 ;1,17 ;1,49 ;1,29 ;1,23 ;1,04 ;1,71 ;2,83
10/2016;0,45 ;1,15 ;2,35 ;1,50 ;1,21 ;1,73 ;1,68 ;2,88
11/2016;0,48 ;1,14 ;2,63 ;1,63 ;1,21 ;1,70 ;1,70 ;2,88
12/2016;0,44 ;1,41 ;2,68 ;2,10 ;1,09 ;1,73 ;1,39 ;2,80
01/2017;0,48 ;1,45 ;2,35 ;1,52 ;1,14 ;1,69 ;1,41 ;2,89
02/2017;0,47 ;1,19 ;2,93 ;1,70 ;1,32 ;1,88 ;1,38 ;2,83
03/2017;0,45 ;1,19 ;2,71 ;2,22 ;1,26 ;1,99 ;1,23 ;2,68
04/2017;0,65 ;1,34 ;3,44 ;2,66 ;1,52 ;2,10 ;1,09 ;3,14
05/2017;0,48 ;1,28 ;4,49 ;2,43 ;1,57 ;2,06 ;1,05 ;3,13
06/2017;0,45 ;1,19 ;3,56 ;2,23 ;1,56 ;2,05 ;0,85 ;2,42
07/2017;0,46 ;1,19 ;4,93 ;2,63 ;1,84 ;1,17 ;1,06 ;1,74
08/2017;0,50 ;1,19 ;6,51 ;2,91 ;1,87 ;1,20 ;0,90 ;1,49
09/2017;0,47 ;1,26 ;6,04 ;2,56 ;1,95 ;1,21 ;0,87 ;1,38
10/2017;0,45 ;1,33 ;6,22 ;2,93 ;2,18 ;1,11 ;0,82 ;2,39
11/2017;0,45 ;1,33 ;6,25 ;2,80 ;2,32 ;1,00 ;0,80 ;2,37
12/2017;0,47 ;1,29 ;4,48 ;3,43 ;2,31 ;0,95 ;0,78 ;1,00
01/2018;0,53 ;1,34 ;6,15 ;3,46 ;2,60 ;0,83 ;0,75 ;1,23
02/2018;0,43 ;1,31 ;5,95 ;3,94 ;2,74 ;0,98 ;0,56 ;1,23
03/2018;0,34 ;1,26 ;6,52 ;3,95 ;2,79 ;0,76 ;0,56 ;1,03
04/2018;0,32 ;1,24 ;15,10 ;4,10 ;3,16 ;0,84 ;0,49 ;1,03
05/2018;0,27 ;1,25 ;15,30 ;4,41 ;3,48 ;0,82 ;0,50 ;1,76
06/2018;0,25 ;1,33 ;6,74 ;4,34 ;4,22 ;0,73 ;0,35 ;0,94
07/2018;0,26 ;1,31 ;9,52 ;5,32 ;4,64 ;0,72 ;0,35 ;1,29
08/2018;0,25 ;1,34 ;9,47 ;4,88 ;4,74 ;0,77 ;0,98 ;2,45
