Data;21085 - Inadimplência da carteira de crédito com recursos livres - Total - %;21086 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total - %;21112 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total - %;21132 - Inadimplência da carteira de crédito com recursos direcionados - Total - %;21133 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Total - %;21145 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Total - %
07/2017;5,61 ;5,49 ;5,72 ;1,78 ;1,45 ;2,09
08/2017;5,60 ;5,46 ;5,71 ;1,80 ;1,54 ;2,05
09/2017;5,41 ;5,16 ;5,61 ;1,78 ;1,49 ;2,05
10/2017;5,38 ;5,19 ;5,55 ;1,85 ;1,58 ;2,10
11/2017;5,25 ;5,08 ;5,39 ;1,79 ;1,50 ;2,05
12/2017;4,90 ;4,52 ;5,23 ;1,49 ;1,22 ;1,73
01/2018;5,05 ;4,81 ;5,24 ;1,70 ;1,26 ;2,09
02/2018;4,97 ;4,78 ;5,13 ;1,80 ;1,36 ;2,18
03/2018;4,77 ;4,42 ;5,07 ;1,70 ;1,20 ;2,12
04/2018;4,64 ;4,14 ;5,06 ;1,89 ;1,66 ;2,08
05/2018;4,59 ;4,07 ;5,02 ;1,91 ;1,75 ;2,03
06/2018;4,40 ;3,76 ;4,94 ;1,55 ;1,18 ;1,86
07/2018;4,28 ;3,41 ;5,01 ;1,64 ;1,38 ;1,86
08/2018;4,22 ;3,32 ;4,97 ;1,73 ;1,56 ;1,86
09/2018;4,10 ;3,10 ;4,94 ;1,86 ;2,02 ;1,74
10/2018;4,08 ;3,08 ;4,90 ;1,89 ;2,15 ;1,69
11/2018;3,96 ;2,98 ;4,77 ;1,81 ;2,02 ;1,65
12/2018;3,85 ;2,73 ;4,80 ;1,72 ;2,00 ;1,51
01/2019;3,97 ;2,95 ;4,81 ;1,76 ;1,88 ;1,66
02/2019;3,87 ;2,85 ;4,70 ;1,77 ;1,84 ;1,71
03/2019;3,88 ;2,86 ;4,72 ;1,92 ;2,06 ;1,81
04/2019;3,86 ;2,77 ;4,73 ;2,01 ;2,34 ;1,77
05/2019;3,88 ;2,72 ;4,81 ;2,04 ;2,41 ;1,77
06/2019;3,87 ;2,73 ;4,78 ;1,80 ;1,99 ;1,67
07/2019;4,00 ;2,92 ;4,84 ;1,87 ;2,02 ;1,76
08/2019;3,89 ;2,65 ;4,87 ;1,95 ;2,16 ;1,81
09/2019;3,90 ;2,55 ;4,98 ;1,95 ;2,17 ;1,81
10/2019;3,89 ;2,50 ;4,98 ;1,91 ;2,12 ;1,77
11/2019;3,85 ;2,44 ;4,97 ;1,88 ;2,02 ;1,80
12/2019;3,72 ;2,13 ;5,01 ;1,86 ;2,17 ;1,66
01/2020;3,80 ;2,31 ;4,95 ;1,92 ;2,02 ;1,86
02/2020;3,84 ;2,27 ;5,07 ;1,94 ;1,98 ;1,92
03/2020;3,87 ;2,34 ;5,19 ;2,19 ;1,84 ;2,41
04/2020;4,03 ;2,38 ;5,50 ;2,26 ;2,10 ;2,35
05/2020;4,06 ;2,38 ;5,59 ;2,09 ;2,13 ;2,08
06/2020;3,70 ;1,97 ;5,28 ;1,76 ;1,94 ;1,64
07/2020;3,56 ;1,85 ;5,11 ;1,66 ;1,89 ;1,51
08/2020;3,35 ;1,67 ;4,87 ;1,69 ;2,08 ;1,44
09/2020;3,20 ;1,59 ;4,65 ;1,39 ;1,46 ;1,35
10/2020;3,11 ;1,53 ;4,52 ;1,34 ;1,37 ;1,32
11/2020;3,00 ;1,53 ;4,29 ;1,19 ;0,91 ;1,38
12/2020;2,89 ;1,45 ;4,16 ;1,06 ;0,80 ;1,25
01/2021;2,94 ;1,59 ;4,12 ;1,06 ;0,59 ;1,38
02/2021;2,90 ;1,57 ;4,06 ;1,33 ;1,00 ;1,55
03/2021;2,89 ;1,64 ;4,01 ;1,09 ;0,47 ;1,50
04/2021;2,93 ;1,69 ;4,03 ;1,18 ;0,58 ;1,56
05/2021;2,98 ;1,72 ;4,09 ;1,43 ;1,16 ;1,60
06/2021;2,90 ;1,62 ;4,02 ;1,38 ;1,24 ;1,46
07/2021;2,96 ;1,64 ;4,08 ;1,40 ;1,32 ;1,45
08/2021;2,98 ;1,63 ;4,12 ;1,37 ;1,28 ;1,43
09/2021;3,00 ;1,59 ;4,21 ;1,26 ;0,97 ;1,44
10/2021;3,02 ;1,59 ;4,22 ;1,21 ;0,96 ;1,36
11/2021;3,07 ;1,64 ;4,26 ;1,20 ;0,96 ;1,34
12/2021;3,07 ;1,54 ;4,37 ;1,15 ;0,95 ;1,27
01/2022;3,26 ;1,59 ;4,63 ;1,27 ;0,99 ;1,42
02/2022;3,26 ;1,51 ;4,72 ;1,41 ;1,08 ;1,59
03/2022;3,41 ;1,67 ;4,85 ;1,38 ;1,06 ;1,55
04/2022;3,52 ;1,68 ;5,04 ;1,34 ;1,10 ;1,48
05/2022;3,65 ;1,69 ;5,26 ;1,30 ;1,08 ;1,42
06/2022;3,62 ;1,65 ;5,24 ;1,18 ;1,01 ;1,27
07/2022;3,80 ;1,75 ;5,46 ;1,21 ;1,04 ;1,30
08/2022;3,92 ;1,81 ;5,62 ;1,17 ;0,96 ;1,29
09/2022;3,98 ;1,87 ;5,69 ;1,16 ;0,95 ;1,27
10/2022;4,13 ;2,03 ;5,80 ;1,21 ;0,98 ;1,33
11/2022;4,16 ;2,07 ;5,81 ;1,25 ;1,01 ;1,37
12/2022;4,18 ;2,04 ;5,90 ;1,22 ;1,01 ;1,33
01/2023;4,39 ;2,22 ;6,10 ;1,32 ;1,06 ;1,45
02/2023;4,45 ;2,29 ;6,12 ;1,55 ;1,57 ;1,55
03/2023;4,44 ;2,37 ;6,06 ;1,52 ;1,52 ;1,52
04/2023;4,69 ;2,71 ;6,22 ;1,62 ;1,56 ;1,65
05/2023;4,85 ;2,92 ;6,30 ;1,64 ;1,58 ;1,68
06/2023;4,85 ;2,98 ;6,29 ;1,56 ;1,58 ;1,56
07/2023;4,87 ;3,16 ;6,17 ;1,61 ;1,57 ;1,63
08/2023;4,89 ;3,33 ;6,06 ;1,56 ;1,54 ;1,57
09/2023;4,81 ;3,35 ;5,92 ;1,50 ;1,51 ;1,50
10/2023;4,87 ;3,49 ;5,90 ;1,49 ;1,56 ;1,45
11/2023;4,82 ;3,56 ;5,76 ;1,48 ;1,63 ;1,41
12/2023;4,52 ;3,13 ;5,58 ;1,31 ;1,23 ;1,35
01/2024;4,61 ;3,32 ;5,54 ;1,39 ;1,33 ;1,41
02/2024;4,58 ;3,32 ;5,49 ;1,42 ;1,33 ;1,47
