Data;3955 - Spread medio das operacoes de credito com recursos livres referenciais                para taxa de juros (pre-fixado) - Total geral - p.p.;3956 - Spread medio das operacoes de credito com recursos livres referenciais                para taxa de juros (pre-fixado) - Total pessoa juridica - p.p.;3957 - Spread medio das operacoes de credito com recursos livres referenciais                para taxa de juros (pre-fixado) - Total pessoa fisica - p.p.
07/2006;35,25 ;25,22 ;39,71
08/2006;35,16 ;24,90 ;39,63
09/2006;35,56 ;24,99 ;40,18
10/2006;35,45 ;24,64 ;40,24
11/2006;35,73 ;24,61 ;40,71
12/2006;34,76 ;24,25 ;39,62
01/2007;35,22 ;24,68 ;39,94
02/2007;34,46 ;24,65 ;38,73
03/2007;33,91 ;24,33 ;38,04
04/2007;33,61 ;24,20 ;37,67
05/2007;33,37 ;23,75 ;37,49
06/2007;32,83 ;22,83 ;37,12
07/2007;32,16 ;22,63 ;36,28
08/2007;31,51 ;22,66 ;35,29
09/2007;31,16 ;22,47 ;34,94
10/2007;30,90 ;22,55 ;34,54
11/2007;29,70 ;21,75 ;33,26
12/2007;28,40 ;20,97 ;31,92
01/2008;32,41 ;23,51 ;36,61
02/2008;32,66 ;23,74 ;36,87
03/2008;31,64 ;24,18 ;35,22
04/2008;31,19 ;24,01 ;34,65
05/2008;30,50 ;24,28 ;33,49
06/2008;31,12 ;23,78 ;34,74
07/2008;32,66 ;24,78 ;36,60
08/2008;33,58 ;25,66 ;37,60
09/2008;34,30 ;26,13 ;38,53
10/2008;36,27 ;30,00 ;39,48
11/2008;38,98 ;31,32 ;42,95
12/2008;39,98 ;30,75 ;44,93
01/2009;39,48 ;31,83 ;43,44
02/2009;38,23 ;32,03 ;41,37
03/2009;37,04 ;31,54 ;39,85
04/2009;36,40 ;32,27 ;38,53
05/2009;35,91 ;32,89 ;37,43
06/2009;34,40 ;31,61 ;35,82
07/2009;33,87 ;31,32 ;35,16
08/2009;33,01 ;30,58 ;34,24
09/2009;32,28 ;29,93 ;33,47
10/2009;32,18 ;29,61 ;33,51
11/2009;30,99 ;28,59 ;32,24
12/2009;29,81 ;26,47 ;31,64
01/2010;30,67 ;28,38 ;31,87
02/2010;29,79 ;27,66 ;30,89
03/2010;29,00 ;27,47 ;29,79
04/2010;28,69 ;27,22 ;29,43
05/2010;28,82 ;27,27 ;29,60
06/2010;28,06 ;27,09 ;28,56
07/2010;28,97 ;29,14 ;28,90
08/2010;28,95 ;29,78 ;28,54
09/2010;28,40 ;29,16 ;28,02
10/2010;29,17 ;29,60 ;28,96
11/2010;27,67 ;28,32 ;27,36
12/2010;27,83 ;26,54 ;28,48
01/2011;30,46 ;28,59 ;31,39
02/2011;30,79 ;29,83 ;31,28
03/2011;31,53 ;29,95 ;32,31
04/2011;32,97 ;30,45 ;34,23
05/2011;32,95 ;30,15 ;34,33
06/2011;32,14 ;29,10 ;33,63
07/2011;32,03 ;29,91 ;33,06
08/2011;32,76 ;29,39 ;34,41
09/2011;32,98 ;28,85 ;35,00
10/2011;33,92 ;28,50 ;36,62
11/2011;32,70 ;28,75 ;34,67
12/2011;31,32 ;26,74 ;33,68
01/2012;32,57 ;27,99 ;34,91
02/2012;33,34 ;28,38 ;35,82
03/2012;32,82 ;28,20 ;35,14
04/2012;30,77 ;26,46 ;32,94
05/2012;28,68 ;24,95 ;30,57
06/2012;26,94 ;23,94 ;28,47
07/2012;27,04 ;24,27 ;28,44
08/2012;26,39 ;23,68 ;27,76
09/2012;26,22 ;22,82 ;27,96
10/2012;25,92 ;22,33 ;27,80
11/2012;25,36 ;21,60 ;27,35
12/2012;24,69 ;19,75 ;27,43
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
