Data;7929 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Cheque especial - %;7930 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Crédito pessoal - %;7931 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento imobiliário - Pessoa física - %;7932 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de bens veículos - Pessoa física - %;7933 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de outros bens - Pessoa física - %;7934 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Cartão de crédito - Pessoa física - %;7935 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Outras operações - Pessoa física - %
05/2005;4,87 ;5,49 ;6,39 ;1,78 ;9,34 ;19,01 ;13,56
06/2005;5,26 ;5,50 ;6,65 ;1,72 ;9,28 ;20,08 ;13,33
07/2005;5,90 ;5,55 ;6,09 ;1,78 ;9,42 ;20,32 ;12,46
08/2005;5,99 ;5,63 ;5,77 ;1,74 ;9,20 ;20,51 ;15,39
09/2005;6,08 ;5,67 ;6,21 ;1,99 ;9,23 ;20,61 ;16,21
10/2005;6,17 ;5,80 ;6,20 ;2,06 ;9,67 ;20,80 ;13,65
11/2005;6,44 ;5,94 ;5,84 ;2,14 ;9,85 ;21,35 ;17,00
12/2005;7,60 ;6,02 ;5,84 ;2,20 ;9,83 ;22,95 ;13,73
01/2006;7,25 ;6,23 ;5,99 ;2,34 ;9,85 ;22,73 ;14,51
02/2006;7,57 ;6,67 ;6,43 ;2,46 ;9,85 ;21,60 ;15,28
03/2006;7,47 ;6,70 ;5,25 ;2,62 ;9,96 ;22,24 ;15,20
04/2006;7,50 ;6,40 ;7,16 ;2,89 ;10,86 ;23,17 ;16,63
05/2006;7,84 ;6,47 ;6,56 ;3,07 ;11,31 ;23,86 ;17,93
06/2006;7,89 ;6,11 ;6,01 ;3,20 ;11,32 ;22,68 ;14,30
07/2006;8,52 ;6,21 ;6,02 ;3,48 ;11,65 ;24,33 ;14,61
08/2006;8,86 ;6,28 ;6,01 ;3,41 ;11,85 ;23,56 ;15,64
09/2006;9,29 ;6,24 ;5,77 ;3,49 ;11,80 ;23,10 ;17,03
10/2006;9,39 ;6,13 ;5,50 ;3,30 ;11,91 ;23,68 ;15,81
11/2006;9,39 ;6,16 ;5,13 ;3,27 ;12,19 ;23,92 ;17,13
12/2006;10,60 ;6,25 ;5,13 ;3,27 ;11,17 ;24,09 ;15,17
01/2007;10,56 ;5,83 ;5,05 ;3,24 ;11,04 ;23,79 ;16,30
02/2007;9,45 ;5,74 ;4,60 ;3,29 ;11,12 ;22,64 ;16,65
03/2007;9,62 ;5,77 ;4,11 ;3,29 ;11,26 ;22,06 ;13,95
04/2007;8,87 ;5,42 ;3,52 ;3,25 ;12,09 ;22,27 ;14,72
05/2007;9,16 ;5,34 ;3,89 ;3,32 ;12,41 ;23,50 ;15,63
06/2007;9,36 ;5,52 ;3,64 ;3,24 ;12,57 ;23,11 ;14,13
07/2007;9,01 ;5,32 ;3,53 ;3,22 ;12,90 ;23,83 ;14,80
08/2007;9,53 ;5,35 ;3,28 ;3,17 ;12,84 ;24,13 ;15,77
09/2007;9,59 ;5,44 ;3,36 ;3,26 ;12,68 ;22,72 ;15,06
10/2007;8,58 ;5,26 ;3,28 ;3,06 ;12,80 ;24,41 ;15,17
11/2007;9,08 ;5,31 ;3,21 ;3,07 ;12,29 ;24,45 ;15,83
12/2007;10,58 ;5,30 ;2,87 ;3,01 ;12,35 ;24,93 ;13,71
01/2008;10,08 ;5,38 ;2,48 ;3,08 ;12,45 ;24,94 ;13,90
02/2008;9,97 ;5,19 ;2,75 ;3,21 ;12,57 ;24,49 ;17,20
